page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries
200,B09Z47W8YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B07BLGSHCW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0B9XP7XX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B07BB6BCPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B01578ZKPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0BRBW1M4R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09L3812QG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09HNPKMST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B095G2H248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B079TH3P21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B089T5V5FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0BP6TNDNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B07ZSFXPZX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0B4M534WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09XFGZ9DW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09VG3LCZF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09VQXR84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09VQXR84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09VQXR84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B08Q32CRTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09VQXR84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B08Q32CRTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09VQXR84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B08Q32CRTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0B8297B5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0BCF6D3WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09VQXR84W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B08Q32CRTQ,"Dell Insprion 15 3000 15.6"" HD Slim and Light Laptop, AMD Athlon Silver 3050U Processor, 4GB RAM, 128GB SSD, HDMI, Radeon Graphics, WiFi, Webcam, Windows 10 S, Black",$329.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0B8297B5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B09QFTGPQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B0BGG2B4KM,2022 HP Laptop PC | 14 inch HD Touchscreen | Intel 11th Gen Dual-Core i3-1115G4 | 32GB DDR4 RAM 1TB M.2 NVMe SSD | Intel UHD Graphics | HDMI | WiFi | Bluetooth | USB-C | Webcam | Windows 10 Pro,$949.99,"April 12, 2022",14 Inches,1366x768,1366 x 768 Pixels,1.7 GHz core_i3_family,32 GB DDR4,2666 MHz,1 TB SSD,Intel UHD Graphics,Intel,Integrated,802.11ac,3,6 Hours,HP,14-DQ2010,14-DQ2010,PC,Windows 10 Pro,6 pounds,12.76 x 8.68 x 0.71 inches,,Silver,Intel,2,DDR4 SDRAM,,Solid State,,AC & Battery,
200,B08D3X9RF6,"HP Newest Flagship Chromebook, 11.6"" HD (1366 x 768) Display, Intel Celeron Processor N3350, 4GB LPDDR2, 32GB eMMC, Chrome OS, HD Graphics 500, 11A-NB0013DX, Ash Gray",$65.50,"July 16, 2020",11.6 Inches,,1366 Pixels,1.1 GHz celeron_n3350,4 GB DDR,,32 GB hybrid,Intel HD Graphics 500,Intel,Integrated,801.11ac,,12 Hours,HP,HP Chromebook,11A-NB0013DX,PC,Chrome OS,3 pounds,12 x 8.2 x 0.7 inches,,Ash Gray,Intel,2,DDR2 SDRAM,32,Solid State,No Optical Drive,AC & Battery,1 Lithium Metal batteries required.
200,B09P2K144H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,B07H6LXXDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
